CRUD_privileges,data_group,description,end_timestamp,location,metric,print_str,short_hand,site,start_timestamp,statistic,unit_str
,scada,,3000-01-01T00:00:00Z,NRTA01,std_NRT_A01_windspeed,Wind speed,windspeed,Norther,2000-01-01T00:00:00Z,std,m/s
,scada,,3000-01-01T00:00:00Z,NRTA01,std_NRT_A01_winddirection,Wind direction,winddirection,Norther,2000-01-01T00:00:00Z,std,°
,scada,,3000-01-01T00:00:00Z,NRTA01,min_NRT_A01_windspeed,Wind speed,windspeed,Norther,2000-01-01T00:00:00Z,min,m/s
,acceleration,mean of accelerations measured at _NRT_A02_NAC_ACC_FA,3000-01-01T00:00:00Z,NRTA02,mean_NRT_A02_NAC_ACC_FA,NAC ACC FA,NAC_ACC_FA,Norther,2000-01-01T00:00:00Z,mean,g
,acceleration,rms1p of accelerations measured at p_NRT_A02_NAC_ACC_SS,3000-01-01T00:00:00Z,NRTA02,rms1p_NRT_A02_NAC_ACC_SS,NAC ACC SS,NAC_ACC_SS,Norther,2000-01-01T00:00:00Z,rms1p,g
,acceleration,max of accelerations measured at NRT_A02_NAC_ACC_FA,3000-01-01T00:00:00Z,NRTA02,max_NRT_A02_NAC_ACC_FA,NAC ACC FA,NAC_ACC_FA,Norther,2000-01-01T00:00:00Z,max,g
,acceleration,rms1p of accelerations measured at p_NRT_A02_NAC_ACC_FA,3000-01-01T00:00:00Z,NRTA02,rms1p_NRT_A02_NAC_ACC_FA,NAC ACC FA,NAC_ACC_FA,Norther,2000-01-01T00:00:00Z,rms1p,g
,acceleration,mean of accelerations measured at _NRT_A02_NAC_ACC_SS,3000-01-01T00:00:00Z,NRTA02,mean_NRT_A02_NAC_ACC_SS,NAC ACC SS,NAC_ACC_SS,Norther,2000-01-01T00:00:00Z,mean,g
,ml/novelty-detection/fleetwide,mdl of Accelerations measured using NRT_A02_autoencoder_ACC_FA,3000-01-01T00:00:00Z,NRTA02,mdl_NRT_A02_autoencoder_ACC_FA,autoencoder ACC FA,autoencoder_ACC_FA,norther,2000-01-01T00:00:00Z,mdl,
,scada,,3000-01-01T00:00:00Z,NRTA02,max_NRT_A02_power,Power,power,Norther,2000-01-01T00:00:00Z,max,kW
